order_id,customer_id,product_id,category,price,discount,quantity,payment_method,order_date,delivered_date,region,returned,return_reason,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,delivery_lead_time,is_returned,price_bucket,high_discount,is_cod,return_probability
O100006,C13772,P201363,Electronics,266.5,0.0,1,PayPal,2025-05-20,2025-05-25,East,No,Not Returned,266.5,9.1,22.88,49,Male,5,0,Low,0,0,0.07726820017574856
O100018,C17831,P218405,Electronics,734.32,0.0,2,Wallet,2025-06-20,2025-06-24,South,No,Not Returned,1468.64,10.9,165.34,58,Female,4,0,Medium,0,0,0.07812177851896938
O100044,C17643,P243790,Electronics,313.25,0.0,1,Debit Card,2024-09-27,2024-10-05,Central,No,Not Returned,313.25,8.96,28.63,53,Male,8,0,Low,0,0,0.08328992768295099
O100053,C11899,P229316,Electronics,402.13,0.0,2,PayPal,2024-01-24,2024-01-29,South,No,Not Returned,804.26,9.93,86.58,40,Female,5,0,Low,0,0,0.07776134406052207
O100062,C16164,P223089,Electronics,368.67,0.0,1,Debit Card,2024-06-26,2024-07-02,West,No,Not Returned,368.67,9.91,34.33,36,Male,6,0,Low,0,0,0.08627353461758835
O100084,C14014,P212663,Electronics,753.1,0.05,1,Debit Card,2024-06-08,2024-06-12,South,No,Not Returned,715.44,10.44,75.41,28,Male,4,0,Medium,0,0,0.08542793503226273
O100124,C14887,P220387,Electronics,537.39,0.15,1,PayPal,2024-02-16,2024-02-20,Central,Yes,Missing/Wrong item,456.78,9.4,45.41,28,Female,4,1,Medium,0,0,0.07580888081488589
O100147,C15794,P212452,Electronics,284.7,0.0,1,Wallet,2024-10-16,2024-10-22,North,No,Not Returned,284.7,9.1,25.06,50,Female,6,0,Low,0,0,0.07959948139118461
O100150,C14474,P213434,Electronics,96.31,0.0,4,UPI,2024-12-04,2024-12-11,East,No,Not Returned,385.24,9.61,36.62,38,Female,7,0,Low,0,0,0.08158284719533636
O100153,C12278,P246713,Electronics,862.36,0.0,1,PayPal,2024-01-02,2024-01-05,North,No,Not Returned,862.36,10.06,93.42,31,Female,3,0,Medium,0,0,0.08027858958312908
O100178,C12690,P212289,Home,99.52,0.0,1,UPI,2024-02-02,2024-02-09,West,No,Not Returned,99.52,8.19,19.68,50,Male,7,0,Low,0,0,0.07296100300330335
O100203,C11757,P210811,Electronics,145.69,0.0,2,Credit Card,2025-04-18,2025-04-25,Central,No,Not Returned,291.38,8.39,26.58,41,Female,7,0,Low,0,0,0.07426208152298137
O100210,C14636,P237487,Home,206.49,0.0,1,Credit Card,2024-11-08,2024-11-15,East,No,Not Returned,206.49,10.12,47.7,35,Male,7,0,Low,0,0,0.08605920784708701
O100212,C16668,P214550,Electronics,116.37,0.05,3,UPI,2023-12-28,2024-01-05,East,No,Not Returned,331.65,8.23,31.57,56,Male,8,0,Low,0,0,0.07341023769199212
O100216,C13157,P219061,Electronics,410.13,0.0,1,Debit Card,2024-05-11,2024-05-15,North,No,Not Returned,410.13,8.95,40.27,48,Female,4,0,Low,0,0,0.07392313810461926
O100221,C11597,P213707,Sports,323.62,0.0,1,Credit Card,2025-06-18,2025-06-23,East,No,Not Returned,323.62,10.29,86.8,57,Male,5,0,Low,0,0,0.07930632726072771
O100242,C11306,P222812,Sports,253.37,0.15,1,Debit Card,2025-09-03,2025-09-06,Central,No,Not Returned,215.36,9.96,54.65,32,Male,3,0,Low,0,0,0.0724853139169628
O100246,C15068,P240194,Electronics,884.8,0.05,3,Wallet,2024-01-07,2024-01-13,West,No,Not Returned,2521.68,12.53,290.07,30,Male,6,0,Medium,0,0,0.08114754956411267
O100247,C15864,P246556,Home,95.63,0.0,1,Credit Card,2024-03-02,2024-03-06,West,No,Not Returned,95.63,9.07,17.71,51,Female,4,0,Low,0,0,0.07293207493138021
O100255,C13748,P208791,Electronics,413.13,0.0,1,PayPal,2024-08-30,2024-09-03,South,No,Not Returned,413.13,8.79,40.79,20,Female,4,0,Low,0,0,0.07274935945106792
O100258,C15353,P232750,Electronics,309.15,0.05,1,COD,2024-02-27,2024-03-05,East,No,Not Returned,293.69,9.11,26.13,50,Female,7,0,Low,0,1,0.07288800648005353
O100273,C14659,P247125,Electronics,1170.31,0.05,1,Debit Card,2024-12-18,2024-12-22,Central,No,Not Returned,1111.79,11.47,121.94,32,Male,4,0,Medium,0,0,0.09503110735245567
O100278,C17554,P217882,Fashion,428.38,0.0,1,Debit Card,2024-02-14,2024-02-22,East,No,Not Returned,428.38,9.79,140.14,39,Male,8,0,Low,0,0,0.07738867564447265
O100282,C12999,P225106,Electronics,98.67,0.0,2,Debit Card,2023-09-30,2023-10-04,North,No,Not Returned,197.34,9.02,14.66,48,Male,4,0,Low,0,0,0.0729718052268315
O100284,C10698,P234977,Home,838.28,0.0,1,Credit Card,2025-03-14,2025-03-19,North,No,Not Returned,838.28,10.7,224.02,62,Female,5,0,Medium,0,0,0.07333463175847502
O100295,C15757,P216856,Electronics,168.13,0.05,3,Wallet,2023-12-02,2023-12-08,South,No,Not Returned,479.17,9.79,47.71,23,Male,6,0,Low,0,0,0.07937024756470126
O100308,C14218,P200327,Electronics,156.68,0.1,1,Credit Card,2024-06-03,2024-06-10,East,No,Not Returned,141.01,8.29,8.63,20,Male,7,0,Low,0,0,0.07405323586036215
O100309,C14496,P222765,Sports,145.46,0.1,1,UPI,2024-12-21,2024-12-27,East,No,Not Returned,130.91,9.17,30.1,23,Female,6,0,Low,0,0,0.0755727428800678
O100318,C13582,P202779,Electronics,311.23,0.0,1,Credit Card,2024-11-19,2024-11-23,North,No,Not Returned,311.23,9.77,27.58,36,Female,4,0,Low,0,0,0.08019447334387078
O100337,C10146,P220521,Home,553.17,0.0,1,Wallet,2023-09-24,2023-09-28,West,No,Not Returned,553.17,10.14,144.75,68,Female,4,0,Medium,0,0,0.07232161287721606
O100346,C16694,P243660,Electronics,359.53,0.0,2,Credit Card,2024-07-02,2024-07-07,South,No,Not Returned,719.06,10.58,75.71,36,Female,5,0,Low,0,0,0.08360934311761782
O100357,C15730,P236019,Electronics,227.77,0.1,1,Debit Card,2025-05-19,2025-05-25,South,No,Not Returned,204.99,9.08,15.52,19,Female,6,0,Low,0,0,0.07790525114068049
O100369,C16397,P234920,Electronics,405.15,0.0,1,Credit Card,2025-01-10,2025-01-16,East,No,Not Returned,405.15,8.54,40.08,41,Male,6,0,Low,0,0,0.07530837445724464
O100379,C11682,P239214,Electronics,302.19,0.05,1,Debit Card,2024-03-09,2024-03-15,East,No,Not Returned,287.08,9.02,25.43,42,Female,6,0,Low,0,0,0.0782686446459646
O100382,C11154,P225223,Home,506.77,0.2,1,UPI,2024-08-24,2024-08-30,East,No,Not Returned,405.42,10.12,103.4,69,Male,6,0,Medium,0,0,0.07733293726581943
O100384,C16295,P208572,Electronics,188.62,0.0,1,Credit Card,2025-07-16,2025-07-22,South,No,Not Returned,188.62,9.83,12.8,24,Female,6,0,Low,0,0,0.08554450131046824
O100391,C11648,P229080,Electronics,322.81,0.15,1,UPI,2024-04-13,2024-04-18,North,No,Not Returned,274.39,10.65,22.28,47,Male,5,0,Low,0,0,0.0877882081277301
O100397,C17394,P226015,Sports,136.87,0.0,2,Wallet,2024-12-26,2025-01-01,West,No,Not Returned,273.74,9.52,72.6,36,Male,6,0,Low,0,0,0.07472255678566395
O100398,C13183,P222972,Grocery,67.88,0.0,4,Wallet,2025-06-18,2025-06-21,North,No,Not Returned,271.52,10.2,11.52,21,Female,3,0,Low,0,0,0.07945808043440812
O100402,C12200,P206309,Electronics,407.78,0.0,1,Credit Card,2025-06-12,2025-06-17,East,No,Not Returned,407.78,8.52,40.41,28,Female,5,0,Low,0,0,0.0729527535639162
O100413,C15800,P232227,Electronics,411.4,0.0,1,UPI,2025-02-26,2025-03-02,North,No,Not Returned,411.4,9.03,40.34,29,Male,4,0,Low,0,0,0.07451751513169672
O100414,C14067,P206508,Electronics,801.48,0.05,1,Debit Card,2025-02-01,2025-02-09,North,No,Not Returned,761.41,10.19,81.18,29,Female,8,0,Medium,0,0,0.093774774847372
O100417,C16944,P210433,Electronics,82.13,0.0,2,PayPal,2023-10-31,2023-11-05,East,No,Not Returned,164.26,9.29,10.42,34,Female,5,0,Low,0,0,0.07747224116586618
O100419,C11300,P245112,Electronics,497.63,0.05,1,Debit Card,2024-06-20,2024-06-24,South,No,Not Returned,472.75,10.23,46.5,31,Female,4,0,Low,0,0,0.08339877841446927
O100438,C16181,P235736,Electronics,311.03,0.05,2,Credit Card,2024-03-16,2024-03-20,North,No,Not Returned,590.96,10.05,60.87,64,Male,4,0,Low,0,0,0.07725317031393135
O100443,C15895,P246025,Electronics,100.16,0.05,1,Debit Card,2024-07-05,2024-07-11,East,No,Not Returned,95.15,8.55,2.87,23,Female,6,0,Low,0,0,0.07448874515512068
O100448,C14893,P245136,Electronics,285.29,0.0,1,Credit Card,2025-08-19,2025-08-22,North,No,Not Returned,285.29,9.7,24.53,65,Female,3,0,Low,0,0,0.07730554557333087
O100454,C14548,P211503,Fashion,161.32,0.0,2,Debit Card,2023-12-03,2023-12-08,South,No,Not Returned,322.64,10.16,102.76,45,Female,5,0,Low,0,0,0.07396311186388713
O100456,C17996,P247138,Electronics,414.85,0.1,1,Credit Card,2024-05-14,2024-05-17,North,No,Not Returned,373.36,9.71,35.09,23,Male,3,0,Low,0,0,0.07620287738371044
O100462,C13120,P210391,Electronics,378.4,0.0,1,Debit Card,2025-03-16,2025-03-20,South,No,Not Returned,378.4,10.3,35.11,50,Female,4,0,Low,0,0,0.08453905759948435
O100463,C17679,P209874,Electronics,275.03,0.0,1,Credit Card,2025-04-17,2025-04-22,North,No,Not Returned,275.03,10.5,22.5,30,Female,5,0,Low,0,0,0.08876643761992553
O100464,C10016,P203608,Electronics,438.13,0.0,1,Debit Card,2024-07-13,2024-07-19,East,No,Not Returned,438.13,8.78,43.8,40,Female,6,0,Low,0,0,0.07714186934346837
O100465,C17339,P230451,Electronics,575.37,0.05,1,UPI,2023-12-20,2023-12-23,North,No,Not Returned,546.6,9.93,55.66,49,Male,3,0,Medium,0,0,0.07867131453780186
O100474,C11060,P225720,Home,132.49,0.0,2,PayPal,2025-05-28,2025-06-01,South,No,Not Returned,264.98,9.88,64.31,50,Male,4,0,Low,0,0,0.0738479315058988
O100493,C10127,P222604,Home,187.07,0.0,1,Credit Card,2023-09-21,2023-09-26,Central,Yes,Defective,187.07,9.02,43.36,42,Female,5,1,Low,0,0,0.07305900333343282
O100494,C12065,P226564,Electronics,344.04,0.0,1,Debit Card,2024-03-04,2024-03-08,Central,No,Not Returned,344.04,8.94,32.34,19,Male,4,0,Low,0,0,0.07383401698696344
O100496,C15854,P222857,Electronics,84.53,0.0,2,Credit Card,2024-09-19,2024-09-27,South,No,Not Returned,169.06,8.39,11.9,59,Male,8,0,Low,0,0,0.07738890377625758
O100502,C13863,P216879,Electronics,600.56,0.0,3,Debit Card,2023-11-19,2023-11-24,Central,No,Not Returned,1801.68,11.97,204.23,64,Female,5,0,Medium,0,0,0.08184840460425812
O100510,C10154,P212554,Electronics,311.42,0.05,1,PayPal,2024-05-11,2024-05-16,West,No,Not Returned,295.85,9.0,26.5,49,Male,5,0,Low,0,0,0.07583597499983911
O100526,C11841,P202005,Electronics,173.01,0.0,1,PayPal,2024-01-29,2024-02-02,South,No,Not Returned,173.01,8.93,11.83,59,Female,4,0,Low,0,0,0.07371765402358275
O100527,C15016,P245509,Home,176.9,0.0,1,PayPal,2024-10-19,2024-10-26,East,No,Not Returned,176.9,8.52,41.01,31,Male,7,0,Low,0,0,0.07395312484240457
O100553,C14146,P200761,Fashion,16.81,0.05,3,PayPal,2025-04-17,2025-04-24,West,No,Not Returned,47.91,8.5,8.27,66,Male,7,0,Low,0,0,0.07448842240541485
O100556,C10574,P200885,Fashion,56.15,0.0,5,PayPal,2025-04-04,2025-04-08,North,No,Not Returned,280.75,10.5,87.76,39,Male,4,0,Low,0,0,0.07449115695009986
O100568,C15173,P226238,Electronics,495.4,0.1,1,Credit Card,2024-04-28,2024-05-02,West,No,Not Returned,445.86,9.26,44.24,48,Male,4,0,Low,0,0,0.07519047351191988
O100571,C12660,P235196,Sports,78.34,0.0,2,Credit Card,2025-07-24,2025-07-30,East,No,Not Returned,156.68,11.05,35.95,38,Male,6,0,Low,0,0,0.09089306449214113
O100592,C14364,P221747,Electronics,727.63,0.0,2,Credit Card,2025-05-28,2025-06-01,Central,No,Not Returned,1455.26,10.87,163.76,65,Female,4,0,Medium,0,0,0.0779870563822799
O100596,C11693,P211282,Electronics,61.19,0.0,4,UPI,2024-11-21,2024-11-28,East,No,Not Returned,244.76,8.38,20.99,43,Female,7,0,Low,0,0,0.07363090181581168
O100623,C15237,P219887,Electronics,409.97,0.15,1,Credit Card,2023-11-20,2023-11-24,West,No,Not Returned,348.47,10.0,31.82,36,Male,4,0,Low,0,0,0.08014937802742185
O100643,C17253,P221649,Electronics,302.75,0.05,2,UPI,2023-10-12,2023-10-17,East,No,Not Returned,575.22,9.12,59.91,59,Female,5,0,Low,0,0,0.07262646848935105
O100644,C12744,P218195,Sports,135.02,0.0,3,Debit Card,2023-12-04,2023-12-09,East,No,Not Returned,405.06,11.24,110.28,55,Male,5,0,Low,0,0,0.08083452522039615
O100660,C12479,P211537,Electronics,730.11,0.15,1,Debit Card,2025-08-22,2025-08-25,North,No,Not Returned,620.59,9.23,65.24,67,Male,3,0,Medium,0,0,0.07279183835166873
O100662,C14646,P227387,Sports,111.45,0.0,1,Credit Card,2025-05-31,2025-06-05,West,No,Not Returned,111.45,9.29,24.15,50,Male,5,0,Low,0,0,0.0762299106713694
O100671,C15877,P249501,Home,274.2,0.0,1,Credit Card,2025-06-27,2025-07-02,North,No,Not Returned,274.2,9.55,67.23,60,Female,5,0,Low,0,0,0.07536091078283177
